Id,Label,id_artista,popularidad,generos_musicales,genero,Grado,Intermediatez,Cercania,Grado,Intermediatez,Cercania
Paco Amoroso,Paco Amoroso,spotify:artist:3E7NGbzUGlOjgYY8nvtijR,54,['Alternative'],male,17,0.0007623065599438,0.2191845764854614,17,0.000762306559943807,0.21918457648546144
Axel Fiks,Axel Fiks,spotify:artist:6GEaxHZNiogI175zUr4KvH,51,['Alternative'],male,10,0.003296428075591,0.2014524328249818,10,0.0032964280755910175,0.20145243282498185
Halpe,Halpe,spotify:artist:5fUaIEaRhzIad7C49MqTsy,51,[],No se el género,12,0.0007795932894476,0.2046930342384887,12,0.0007795932894476772,0.20469303423848878
Ecko,Ecko,spotify:artist:2Jb9jVnCpWkXtoGznFJ6bF,63,"['Trap', 'HipHop']",male,39,0.0010317422768888,0.1986821372296232,39,0.0010317422768888957,0.19868213722962327
XOVOX,XOVOX,spotify:artist:2mzbm2cwDrAgc9zxcXvfC1,46,[],male,5,0.0015237629960393,0.2035813885219433,5,0.001523762996039335,0.20358138852194335
Victor Heredia,Victor Heredia,spotify:artist:07S2B15CcvWG4jyfMhqx8X,49,"['Folklore', 'Rock']",male,76,0.0429996621296536,0.2955465587044534,76,0.04299966212965362,0.29554655870445345
Taiu,Taiu,spotify:artist:5szJHKg5xeUlQ9pTqzdpic,60,[],male,17,8.838295864123612e-05,0.1981994855673049,17,8.838295864123612e-05,0.19819948556730493
Yesan 雪山,Yesan 雪山,spotify:artist:6pJPxDgaE0H343SrASnY9J,53,[],male,15,0.0014541124653437,0.2102789569436021,15,0.0014541124653437078,0.21027895694360219
ONIRIA,ONIRIA,spotify:artist:6mkRgafSHF30Dr2wEch4YU,44,['Trap'],No se el género,8,0.0055977292708962,0.2257486979166666,8,0.005597729270896274,0.22574869791666666
WOS,WOS,spotify:artist:5YCc6xS5Gpj3EkaYGdjyNK,71,"['Trap', 'HipHop', 'R&B', 'Rock', 'Rap', 'Alternative']",male,10,0.0063838771291332,0.2375,10,0.006383877129133239,0.2375
2 minutos,2 minutos,spotify:artist:5sASmkskUJsvYDSYKRkkYd,49,"['Rock', 'Punk', 'Alternative']",No se el género,1,0.0,0.1956276445698166,1,0.0,0.19562764456981666
NEGRO DUB,NEGRO DUB,spotify:artist:65VS702SIPGgTpWgTQupMA,51,[],male,15,4.355816131084614e-05,0.1985683607730851,15,4.355816131084614e-05,0.19856836077308518
Kaleb Di Masi,Kaleb Di Masi,spotify:artist:5U5wYVqrbD6J8SK4kNhau4,67,"['Trap', 'Cumbia']",male,31,0.0028029105303664,0.2039405969710336,31,0.0028029105303664773,0.20394059697103367
