Id,Label,timeset,id_artista,popularidad,generos_musicales,genero,louvain,infomap,modularity_class
Nadia Larcher,Nadia Larcher,,spotify:artist:7qCEjoCmUjJ0F8ACB0WUX5,21,[],female,3,109,2
Carlos Aguirre,Carlos Aguirre,,spotify:artist:42aKOZOUTiO5DmS1FF4nVN,27,[],male,3,240,5
Chango Spasiuk,Chango Spasiuk,,spotify:artist:0qGRkfnUqWeG49vbCv6rMY,39,"['Chamame', 'Folklore']",male,7,42,13
Ramona Galarza,Ramona Galarza,,spotify:artist:6SgxxKwvGosbX2WvlVyCmm,30,"['Chamame', 'Folklore']",female,1,231,6
Rafael Varela,Rafael Varela,,spotify:artist:4U5EaR8hJD8J5Ov5L78KKa,10,[],male,17,107,2
Guillermo Rubino,Guillermo Rubino,,spotify:artist:0WySw2unsPSHsyKnaeIbro,1,[],male,17,157,2
Julio Domínguez,Julio Domínguez,,spotify:artist:7MMSYKX0JCWR0TE4Mbo7sk,1,[],male,17,164,6
Paula Pomeraniek,Paula Pomeraniek,,spotify:artist:31dHfRj6P93GP3be6JsYIe,8,[],female,17,157,2
Hernán Jacinto,Hernán Jacinto,,spotify:artist:3waJSGCslQ87FHecJ3aRpl,23,['Jazz'],male,18,112,2
Mariano Otero,Mariano Otero,,spotify:artist:48Dbz6uh32ESOMasfSP1DV,10,['Jazz'],male,18,165,2
Deborah Dixon,Deborah Dixon,,spotify:artist:1aHdv3nIrpIqY0Ot84aUCl,36,[],female,17,28,13
Pablo Márquez,Pablo Márquez,,spotify:artist:7t8dXxk67LatGoCbXsMC1k,2,[],male,17,166,2
Daniel Colombres,Daniel Colombres,,spotify:artist:5UxNNk5mnz9zLq5nIrv3HO,1,['Rock'],male,17,166,2
Enrique Cadícamo,Enrique Cadícamo,,spotify:artist:4W9ZwGDEGNJpD4UPniDXZc,6,['Tango'],male,9,11,1
Gato Barbieri,Gato Barbieri,,spotify:artist:7dXBi98p0mN5JCpBnU0XEm,35,['Jazz'],male,6,106,5
Luis Bacalov,Luis Bacalov,,spotify:artist:4iy3JrFlBLHPvXqN1OcQS1,44,[],male,6,0,5
Leo García,Leo García,,spotify:artist:54YdJC33Ztc1CNIuodmyUb,38,['Alternative'],male,5,113,5
Mimi Maura,Mimi Maura,,spotify:artist:4VKHNaUBImLsxPOCdG5Mwl,44,"['Rock', 'Reggae', 'Alternative']",NA,2,28,13
Pocho La Pantera,Pocho La Pantera,,spotify:artist:2q6X99CH0WLrL5YFJVOhZc,27,"['Tango', 'Cumbia', 'Rock']",male,7,40,13
Perotá Chingó,Perotá Chingó,,spotify:artist:5cMTiWeaWidGI8hVoZY8Ox,51,"['Folklore', 'Alternative']",NA,7,40,13
Lucho Gonzalez,Lucho Gonzalez,,spotify:artist:33sboCc76D1i5TMxJZ9CrX,23,[],male,3,167,5
Sol Mihanovich,Sol Mihanovich,,spotify:artist:79BGPrOD4VVBStCNUiSVgf,5,[],female,3,77,5
Vane Mihanovich,Vane Mihanovich,,spotify:artist:5LvBye34bQCrxLLYWolBM0,4,[],male,3,77,5
Horacio Fumero,Horacio Fumero,,spotify:artist:5lAHWc2DhtCr5W1ELS4Sf7,20,['Jazz'],male,15,241,7
Fernando Martínez,Fernando Martínez,,spotify:artist:6dAA2x9S3ejO2shGKU2a9q,3,[],male,20,107,7
Diego Arnedo,Diego Arnedo,,spotify:artist:4EL27iYJ5qyi75SKNcekCI,2,['Rock'],male,2,78,13
Jacinto Piedra,Jacinto Piedra,,spotify:artist:3gUs4foho2rbIjihCN0d2a,20,[],male,2,4,6
Rodolfo Garcia,Rodolfo Garcia,,spotify:artist:2Qto84FlIG2TGAERd59hMh,10,"['Jazz', 'Rock']",male,6,114,6
Amadeo Monges,Amadeo Monges,,spotify:artist:7AGRJBPojSoIkGIILAfoe9,2,['Tango'],male,2,4,6
Daniel Buira,Daniel Buira,,spotify:artist:4LOOvONTOjDME2R1p1ucyL,1,[],male,2,4,6
Luciano Pereyra,Luciano Pereyra,,spotify:artist:6ZZ2DeepA3GpoGU4KwqSlU,63,"['Pop', 'Folklore']",male,1,39,6
Los Tucu Tucu,Los Tucu Tucu,,spotify:artist:793ACUr9nbTLP7KZUddXzU,35,"['Chamame', 'Folklore']",NA,2,4,6
Charly García,Charly García,,spotify:artist:3jO7X5KupvwmWTHGtHgcgo,63,"['Jazz', 'Pop', 'Tango', 'Rock', 'Punk', 'Alternative']",male,1,38,6
Carlos Carabajal,Carlos Carabajal,,spotify:artist:01R68b3QwneYjjQOrvtrtJ,24,"['Chamame', 'Folklore']",male,2,57,6
Ica Novo,Ica Novo,,spotify:artist:4kObiLMlQPb3jTLxhEpim4,7,[],male,2,4,6
Roberto Carabajal,Roberto Carabajal,,spotify:artist:5Tw6enF7ZutIbWNTu3ZmVd,31,[],male,15,115,7
Claudia Puyó,Claudia Puyó,,spotify:artist:19TslKl8qhtMCbzoujrhv9,14,['Rock'],female,2,78,6
Duo Coplanacu,Duo Coplanacu,,spotify:artist:4PGCodvYkKFR1qPfeDlIPQ,41,['Folklore'],NA,2,4,6
Taa Huayras,Taa Huayras,,spotify:artist:56IDT1uYz4O3bNIXzqoymQ,2,[],NA,2,4,6
Hernán Langer,Hernán Langer,,spotify:artist:5FTiRYlzsYspMsAx4dXks9,7,[],male,3,25,6
Claudia Brant,Claudia Brant,,spotify:artist:10k5cHGYX3Ajunxd7oPYFm,31,['Pop'],female,6,114,5
Sig Ragga,Sig Ragga,,spotify:artist:7hBKLnKOnLXNBwJ1l6p24J,32,"['Reggae', 'Alternative']",NA,4,1,6
Richard Nant,Richard Nant,,spotify:artist:2TbC35HAukvJvVhhEhYXXH,4,['Jazz'],male,18,168,2
Juan Falú,Juan Falú,,spotify:artist:2NjcVfg5McVYV375Fm0rFH,26,['Folklore'],male,4,72,6
Facundo Guevara,Facundo Guevara,,spotify:artist:6964LUCtdUXz5FyLEeTgK4,17,[],NA,4,242,6
Diego Rolón,Diego Rolón,,spotify:artist:7zr3crIOjpigsdbwM55kK6,4,[],male,4,72,6
Cristina Banegas,Cristina Banegas,,spotify:artist:54QQawwkIQiBq4wbe43yLx,4,['Tango'],female,15,58,7
Mariana Baraj,Mariana Baraj,,spotify:artist:3kNByUYht34hI6ugWqMtCq,22,"['Pop', 'Folklore', 'Rock']",female,2,76,6
Palo Pandolfo,Palo Pandolfo,,spotify:artist:01wwxIe4Qgb0a4PCfzBjsf,27,"['Pop', 'Tango', 'Cumbia', 'Rock', 'Punk', 'Alternative']",male,4,116,6
Karina Cohen,Karina Cohen,,spotify:artist:5iAt4vIf5fUG1tFPpOSyUN,0,[],female,4,116,6
Juan Salinas,Juan Salinas,,spotify:artist:3LkShlQRHHeTS7Y6iyOeX8,7,[],male,3,243,5
Celeste Carballo,Celeste Carballo,,spotify:artist:1FIaDvGsK56jO0K0BUs1iW,33,"['Pop', 'Tango', 'Rock', 'Punk']",female,1,169,6
Patricia Sosa,Patricia Sosa,,spotify:artist:4kyLueNyhG8PKhJagDDOJD,41,"['Pop', 'Tango', 'Rock']",female,3,29,6
Hilda Lizarazu,Hilda Lizarazu,,spotify:artist:1imu37uW2KnEiLMAKmQVgn,36,"['Pop', 'Rock']",female,3,170,5
La Bruja Salguero,La Bruja Salguero,,spotify:artist:1PvGlWWeeIvW3xeTjAZxda,26,['Folklore'],female,3,19,5
Julia Zenko,Julia Zenko,,spotify:artist:5zsw1AANYqHiLeJ9GGHjLP,25,"['Pop', 'Tango']",female,3,171,5
Manuel Wirzt,Manuel Wirzt,,spotify:artist:27kA8TnszsSYSZDikpz0Ra,38,"['Pop', 'Rock']",male,4,160,6
Victor Carrión,Victor Carrión,,spotify:artist:1gjDYTQtjIUuGBOLnwjz96,5,[],male,3,54,5
Mariano Delgado,Mariano Delgado,,spotify:artist:24isUheoITHraqgy9VRGhR,9,[],male,3,1,5
Indio Solari,Indio Solari,,spotify:artist:0nUGkxUncFeXt0Dr0hhrc4,58,"['Rock', 'Punk']",male,21,244,3
Isabel De Sebastian,Isabel De Sebastian,,spotify:artist:6rgRWv9QW0LOCwpJxYfKFh,9,[],female,1,245,6
Ulises Butrón,Ulises Butrón,,spotify:artist:264oCh73no9KvChVyWZoCe,29,"['Pop', 'Rock']",male,1,1,6
Los Tipitos,Los Tipitos,,spotify:artist:1SykQGBiBwkQ1fcGpJ1BJt,52,"['Rock', 'Alternative']",NA,1,162,6
Miguel Cantilo,Miguel Cantilo,,spotify:artist:4MTd9MHb33LFgRKqWG0jZi,27,['Rock'],male,1,79,6
Litto Nebbia,Litto Nebbia,,spotify:artist:2SpMjzpc9CfI6WWtwdToiA,30,"['Jazz', 'Pop', 'Tango', 'Rock']",male,6,2,5
Gustavo Cordera,Gustavo Cordera,,spotify:artist:3dOfwznaY7FEKpF8aw1q9i,45,"['Rock', 'Alternative']",male,2,76,13
Árbol,Árbol,,spotify:artist:6OO01j5rLKCyPg4i3FuzIT,52,"['Rock', 'Punk', 'Alternative']",NA,1,15,6
Los Piojos,Los Piojos,,spotify:artist:0SnyKkoyBaB2fG8IJH4xmU,60,"['Rock', 'Alternative']",NA,2,1,13
Liliana Vitale,Liliana Vitale,,spotify:artist:3lXtbYD0IVuJUKEtqBFcvF,14,"['Jazz', 'Tango', 'Folklore', 'Rock']",female,3,246,5
Veronica Condomi,Veronica Condomi,,spotify:artist:0HRRgz3RdNIFJUaeo811Be,21,['Folklore'],female,3,246,5
María Elena Walsh,María Elena Walsh,,spotify:artist:5gMEZRCMq0gWA3kuCPukEk,47,[],female,22,247,4
Fabiana Cantilo,Fabiana Cantilo,,spotify:artist:5R6YR0pasdxlynyq0Abq7x,53,"['Pop', 'Rock', 'Alternative']",female,1,172,6
Nacha Guevara,Nacha Guevara,,spotify:artist:0439EWLqkNEatVwyJWb0Go,26,['Folklore'],female,23,117,1
Javier Malosetti,Javier Malosetti,,spotify:artist:0k0zJds09TLWzvBW9NoPqV,29,"['Jazz', 'Rock']",male,18,26,6
Jorge Cumbo,Jorge Cumbo,,spotify:artist:4y2x34fENU3IrjQKH245Q5,6,[],male,17,164,6
Eladia Blazquez,Eladia Blazquez,,spotify:artist:0lHsA4VFPhU5bDBYPMskM8,23,['Tango'],female,12,59,5
ALEJANDRO DOLINA,ALEJANDRO DOLINA,,spotify:artist:03WEHTz1fWCH7iWsnDDtdQ,3,[],male,3,1,5
Oscar Kreimer,Oscar Kreimer,,spotify:artist:2inpugQjJeiYRp5NytloF7,0,[],NA,3,1,5
Marcelo Torres,Marcelo Torres,,spotify:artist:2BGnDjUoBoxXzkRdJR5xuL,1,[],male,3,1,5
Jorge Araujo,Jorge Araujo,,spotify:artist:72eRMBaSk9zLCC6lO2AETC,8,[],male,3,173,5
Bernardo Baraj,Bernardo Baraj,,spotify:artist:4q0z8gYHQaPTLo2Y3A4U90,9,"['Jazz', 'Tango', 'Folklore', 'Rock']",male,6,167,5
Gauchos de Acero,Gauchos de Acero,,spotify:artist:7ySjN46W89lvuVJSu1VZUl,8,[],NA,3,1,5
Tangoloco (Daniel García Quinteto),Tangoloco (Daniel García Quinteto),,spotify:artist:6kFy4Ql2YEcpaElKcnBGkj,9,[],NA,10,118,5
Lisandro Aristimuño,Lisandro Aristimuño,,spotify:artist:0ovfSEcDqepf0vqJc811zQ,49,"['Pop', 'Electronica', 'Rock', 'Alternative']",male,1,1,13
Lidia Borda,Lidia Borda,,spotify:artist:1SkyJrTK7wUmLxV9H7ekBt,23,['Tango'],female,4,119,6
Manu Sija,Manu Sija,,spotify:artist:0YJbC4MQ0KFv3bhFz8uUnx,14,['Folklore'],male,3,248,6
Rocío Quiroz,Rocío Quiroz,,spotify:artist:43PjjBbR7LawCx75hCbLmn,43,"['Pop', 'Cumbia']",female,2,1,6
Natalie Perez,Natalie Perez,,spotify:artist:1Y99HOeRzRc27my6NJE3rE,57,"['Pop', 'Cumbia']",female,1,15,6
José Colangelo,José Colangelo,,spotify:artist:2cBDNCWJR1YBWMGBxZDPgW,4,[],male,15,249,7
Federico Lechner,Federico Lechner,,spotify:artist:5tEyp8bbcmlvlJHfGqzKui,9,[],male,3,108,6
Daniel Altamirano,Daniel Altamirano,,spotify:artist:1aI3fe7Zgy101dUMankLRx,23,"['Chamame', 'Folklore']",male,2,4,6
Ramón Navarro,Ramón Navarro,,spotify:artist:3c9gEcnCgfUmMrkITo3hac,11,[],male,3,19,6
Demi Carabajal,Demi Carabajal,,spotify:artist:5CQzGDENGT9jsefa285qId,28,['Folklore'],male,2,57,6
Ernesto Guevara,Ernesto Guevara,,spotify:artist:2mzr1rdYmrDeNUQd75hwRL,13,[],NA,2,4,6
Vivi Pozzebón,Vivi Pozzebón,,spotify:artist:57jK2jsGdm48Pk7j9pgipR,8,['Alternative'],female,2,250,6
El Quintetito de Marcelo Véliz,El Quintetito de Marcelo Véliz,,spotify:artist:7A76ngUiD83HJEb1xpGYjy,2,[],NA,2,4,6
Walter Ríos,Walter Ríos,,spotify:artist:5FCQvlbzr39o5QYf1ie5UD,16,"['Tango', 'Folklore', 'Rock']",male,6,30,5
Horacio Banegas,Horacio Banegas,,spotify:artist:7B4W35mskl1bpKV8l9WezH,32,"['Chamame', 'Folklore']",male,2,4,6
Raul Porchetto,Raul Porchetto,,spotify:artist:3WoxTj3fh8I58MpnwZyYyL,34,"['Pop', 'Rock']",male,1,233,6
Natalia Pastorutti,Natalia Pastorutti,,spotify:artist:3dQbT1d8rcXcVBcOR396Kt,36,['Pop'],female,1,158,5
Jorge Rojas,Jorge Rojas,,spotify:artist:45SolwUehJs6vFkuAfqMf6,47,['Folklore'],male,1,120,5
Sixto Palavecino,Sixto Palavecino,,spotify:artist:7J3PlfvQyxabanXsQQtJf0,27,"['Chamame', 'Folklore']",male,3,158,6
Sandro,Sandro,,spotify:artist:5srsgtoePlsp0eQIXmta1O,52,"['Pop', 'Rock']",male,12,174,5
Nito Mestre,Nito Mestre,,spotify:artist:46JHFFEjLKbXhMQsU5vSGm,29,['Rock'],male,1,171,6
María Rosa Yorio,María Rosa Yorio,,spotify:artist:2GrKE2j3FFdSw8eAtrZqmq,17,['Rock'],female,1,175,6
Gustavo Santaolalla,Gustavo Santaolalla,,spotify:artist:4W3fa7tiXGVXl3KilbACqt,62,"['Pop', 'Tango', 'Folklore', 'Rock']",male,17,176,6
D-Mente,D-Mente,,spotify:artist:5FhptIji4QaSFq9NupXBv7,25,"['Rock', 'Metal']",NA,1,73,6
Los Fabulosos Cadillacs,Los Fabulosos Cadillacs,,spotify:artist:2FS22haX3FYbyOsUAkuYqZ,66,"['Rock', 'Alternative']",NA,1,73,6
Edelmiro Molinari,Edelmiro Molinari,,spotify:artist:1vNIIIbjhp0ZqFHwtsZV3e,6,['Rock'],male,1,73,6
Ramiro Gallo,Ramiro Gallo,,spotify:artist:6dHeDHdhGXNzuG7hWjJM5A,13,['Tango'],male,1,43,6
Andrés Beeuwsaert,Andrés Beeuwsaert,,spotify:artist:3fnzS4PnRLWeLgaRuktFIu,10,[],male,5,60,6
Marcelo Corvalan,Marcelo Corvalan,,spotify:artist:0xJqaIySgCaJQFtxA0C8X4,3,"['Rock', 'Punk', 'Rap', 'Metal']",male,1,54,6
Lito Epumer,Lito Epumer,,spotify:artist:0cQctgT93nOOGdnLKya1pM,6,"['Jazz', 'Folklore', 'Rock']",male,3,251,6
Suna Rocha,Suna Rocha,,spotify:artist:3SGdv7Nnxz36kYLYcSWuJf,21,['Folklore'],female,3,250,6
Oscar Moro,Oscar Moro,,spotify:artist:6mYJ5mevBWjr0iKe0BuXtv,3,"['Jazz', 'Rock']",male,1,54,5
Néstor Marconi,Néstor Marconi,,spotify:artist:0ZWO3TxKWBb6QvvGEDe38H,16,['Tango'],male,24,177,1
Balbina Ramos,Balbina Ramos,,spotify:artist:2Eqg76yCE6NyGS9XymOv75,3,[],female,1,54,6
Piñon Fijo,Piñon Fijo,,spotify:artist:6PRgcvz1LpSPCsJD7dvzBE,33,[],male,1,54,6
Skay Beilinson,Skay Beilinson,,spotify:artist:4K8Mrjr9IvA8QU0Vjj4BED,46,"['Rock', 'Punk', 'Metal', 'Alternative']",male,2,80,13
Conociendo Rusia,Conociendo Rusia,,spotify:artist:79R7PUc6T6j09G8mJzNml2,57,"['Pop', 'Rock', 'Alternative']",NA,1,27,13
Nayla Lebón,Nayla Lebón,,spotify:artist:3z5hUEzZZdic4OwyuR04ck,11,[],female,1,38,6
Diego Torres,Diego Torres,,spotify:artist:0LALueHEQunQ2d61fXGeZh,63,"['Pop', 'Rock']",male,1,38,6
Eruca Sativa,Eruca Sativa,,spotify:artist:2RPNbhguRnI9uqahGYcUc6,40,"['Folklore', 'Rock', 'Metal', 'Alternative']",NA,4,27,6
Polifemo,Polifemo,,spotify:artist:5kt7SkycNsq8vbKoFb3QxO,21,['Rock'],NA,1,38,6
Silvina Garre,Silvina Garre,,spotify:artist:6q9n20PmMRLtZc1xCgq0r3,34,"['Pop', 'Rock']",female,3,121,5
Los Tekis,Los Tekis,,spotify:artist:0iutktJLkNNtErs8c3EoF6,46,"['Cumbia', 'Folklore']",NA,1,39,6
Facundo Saravia,Facundo Saravia,,spotify:artist:7c8SVvHiXiEY6f3H7M6BcW,29,['Folklore'],male,1,252,11
Gustavo Cerati,Gustavo Cerati,,spotify:artist:1QOmebWGB6FdFtW7Bo3F0W,68,"['Pop', 'HipHop', 'Electronica', 'Folklore', 'Rock', 'Alternative']",male,5,113,13
Ariel Ramírez,Ariel Ramírez,,spotify:artist:2dTieljE0C4ydCdUPIPLRW,42,[],male,3,122,6
Chango Farias Gomez,Chango Farias Gomez,,spotify:artist:4uk8EjGWEOC5OgpG3MRTCS,19,[],male,3,253,6
Jaime Torres,Jaime Torres,,spotify:artist:6JogLFS7BAeUUE7DBgOOVb,26,[],male,3,8,6
Ruben Lobo,Ruben Lobo,,spotify:artist:4p5UgXz2mMS1iUN2dcE331,11,[],male,3,254,6
Oscar Giunta,Oscar Giunta,,spotify:artist:26CnXYQlwCWtgIaYpiix6P,14,[],male,20,255,7
Popi Spatocco,Popi Spatocco,,spotify:artist:1OClVljQxHgGRdLn2P6DyO,12,[],male,3,8,6
Marcelo Chiodi,Marcelo Chiodi,,spotify:artist:6BvPypThcJR8MH0ohwwyBq,10,[],male,4,61,2
Carlos López Puccio,Carlos López Puccio,,spotify:artist:3uy6dfOCidSnDmWkqV8FRp,8,[],male,25,178,15
Carlos Franzetti,Carlos Franzetti,,spotify:artist:7uZe9PKEDBcgMePywrHt8d,8,[],male,6,167,5
Guillermo Vadala,Guillermo Vadala,,spotify:artist:16Zrj1Fc0tOeRmdBGftuhD,17,['Jazz'],male,1,245,6
Domingo Cura,Domingo Cura,,spotify:artist:0PyBsZlcv8KxT5BsBFnmwG,18,"['Tango', 'Folklore']",male,6,179,5
Los Fronterizos,Los Fronterizos,,spotify:artist:3JY4oF6rBQ45FSVUJtXixb,33,"['Chamame', 'Folklore']",NA,4,180,6
Dúo Nuevo Cuyo,Dúo Nuevo Cuyo,,spotify:artist:6KR1dWZ3UsJUio6LLkuTR2,14,[],NA,3,8,6
Maria Graña,Maria Graña,,spotify:artist:1Yr19zGBA3JmVYOcE4JwRG,23,['Tango'],female,6,256,6
Luna Monti,Luna Monti,,spotify:artist:5RkjP5JxGRSX834GatSoCt,14,['Folklore'],female,3,8,5
Nacha Roldán,Nacha Roldán,,spotify:artist:5ecl4cSr8UkV7VAgBuQmYh,13,[],female,3,8,6
La Chilinga,La Chilinga,,spotify:artist:7J2YL38BFK6fxvA6p6NNfx,37,[],NA,2,8,6
Alberto Rojo,Alberto Rojo,,spotify:artist:178VA738PauCWm1ZjjSaD2,18,['Folklore'],male,3,8,6
Coqui Sosa,Coqui Sosa,,spotify:artist:4EVLp3DfgfKHi1atOxc7Wb,10,[],male,3,8,6
Jorge Giuliano,Jorge Giuliano,,spotify:artist:4ohvKWdqkkcnCiWo6qBcRk,16,[],male,3,19,6
Javier Casalla,Javier Casalla,,spotify:artist:2LzLXJNPrHvw62NE5vKIHo,34,[],male,17,8,6
Sof Tot,Sof Tot,,spotify:artist:0QLkVX5UDeJyKxSA8z8mtj,9,['Electronica'],female,7,257,13
Muray,Muray,,spotify:artist:4at5t9fkW0HFE6OWPvAI9j,4,[],male,0,74,0
Agapornis,Agapornis,,spotify:artist:27Yc5RzJf27tJfqezJnHY1,54,"['Pop', 'Cumbia']",NA,1,15,6
Kris Alaniz,Kris Alaniz,,spotify:artist:2BBJWIcxT5ermErEg2LbWB,13,['HipHop'],female,7,123,13
Picnic,Picnic,,spotify:artist:7GswG3FAeOtdj7lbSSu4Qr,9,[],NA,2,110,13
Poseidotica,Poseidotica,,spotify:artist:35c7I7m05XIsgtiCq1o99U,13,[],NA,2,258,13
Isla de los Estados,Isla de los Estados,,spotify:artist:1lCe34SkMDohDtxVgyL8lK,16,['Electronica'],NA,2,181,13
Il Carlo,Il Carlo,,spotify:artist:0fv2685TCe5p3NzyhvgJCY,1,[],male,2,181,13
Agus Cassano,Agus Cassano,,spotify:artist:5Jmui4kpdCfcyz8KFSpHRY,10,[],female,2,110,13
Vilma Palma e Vampiros,Vilma Palma e Vampiros,,spotify:artist:5VQCk9RiLwri99OgOT34kq,62,"['Pop', 'Rock', 'Alternative']",NA,2,110,13
Andy Chango,Andy Chango,,spotify:artist:6gRaeWdE7T2FCClI72x4Ln,20,"['Pop', 'Rock']",male,1,41,6
Ciro Fogliatta,Ciro Fogliatta,,spotify:artist:5bPCAiEmMvXK12rK6mVh6k,7,['Rock'],male,1,182,6
Poli y Prietto,Poli y Prietto,,spotify:artist:6T7P1dGrdFKk84GJzAOgiL,27,['Pop'],NA,1,41,6
Los Abuelos De La Nada,Los Abuelos De La Nada,,spotify:artist:5R3NywPPOyhLfdvutgg0me,61,"['Rock', 'Punk', 'Alternative']",NA,1,41,6
Daniel Melingo,Daniel Melingo,,spotify:artist:08X5fKnU2tkjH4IeLnl8vt,20,"['Jazz', 'Tango', 'Rock', 'Reggae']",male,7,12,13
Palito Ortega,Palito Ortega,,spotify:artist:4jCduxx9HzFKS0RrRAtVXD,50,"['Pop', 'Rock']",male,1,124,5
Raúl Lavié,Raúl Lavié,,spotify:artist:2GFIX098sqpvCSY9ZQHI4D,28,['Tango'],male,12,1,5
Carli Jiménez,Carli Jiménez,,spotify:artist:5rGUuPEIFYMVmocNdihpUe,24,[],male,1,71,5
Javier Calamaro,Javier Calamaro,,spotify:artist:1zqYQ7L6ESgIV03vRAC8Nc,0,"['Pop', 'Tango', 'Rock']",male,1,56,6
Banda XXI,Banda XXI,,spotify:artist:1HHj74UqXjKHUjf4tav0zU,2,[],NA,1,81,5
Damian Cordoba,Damian Cordoba,,spotify:artist:4haveXmEihPeMsRLKsaqQ5,2,[],male,1,183,5
La Konga,La Konga,,spotify:artist:0XORjaOkimtutsShblypI7,21,[],NA,1,81,5
Slim Dee,Slim Dee,,spotify:artist:7jiMD3vf8pQSfYOqsftWVg,12,['HipHop'],male,1,71,5
Nene Bellako,Nene Bellako,,spotify:artist:23VHwtnLwwlIY6867yLKxF,0,[],NA,0,151,0
Manu Rg,Manu Rg,,spotify:artist:4BYjb5lZPyqyEJgSCkxXuH,40,['Cumbia'],male,0,102,0
Carlos Mellino,Carlos Mellino,,spotify:artist:4POuvOTYZeAgJ0yP8E0j79,20,['Rock'],male,1,55,5
Nacho Nacif,Nacho Nacif,,spotify:artist:3ZQ41cUBIlokZkViPuam4F,2,[],male,1,55,5
Cacho Castaña,Cacho Castaña,,spotify:artist:3lwRbCTt1qmo0QgXUai8ao,47,"['Tango', 'Rock']",male,6,82,2
Anabella Cartolano,Anabella Cartolano,,spotify:artist:08DbRq8mfXjAQPIyhR070C,17,[],female,1,9,13
Facundo Barrionuevo,Facundo Barrionuevo,,spotify:artist:79p3OrS2zGmMcfYrNOEOak,4,[],male,1,9,13
Nina Suárez,Nina Suárez,,spotify:artist:1NQmLvlEcg6hE8CQ0r31GV,15,[],female,1,9,13
Jorge Serrano,Jorge Serrano,,spotify:artist:0MKZAy5tWkpbK7elkCZRLF,50,[],male,1,9,13
Ulises Conti,Ulises Conti,,spotify:artist:2GbKQKL9D1dkfoSMeWM7vV,18,[],male,1,259,13
Kumbia Queers,Kumbia Queers,,spotify:artist:5YyaDaOco3I0zoLtGxDM5K,31,"['Cumbia', 'Punk', 'Rap']",NA,2,75,13
Todos Tus Muertos,Todos Tus Muertos,,spotify:artist:4Pi85oI4dmppSqROLj7rgy,43,"['Rock', 'Punk', 'Metal', 'Reggae', 'Alternative']",NA,2,75,13
Rocio Igarzabal,Rocio Igarzabal,,spotify:artist:7HzX50l6Oi0gFLTkdHJcOZ,25,['Pop'],female,3,37,5
Sol Pereyra,Sol Pereyra,,spotify:artist:6nmZ0P2weepXhXvox51G1A,35,"['Pop', 'Alternative']",female,1,9,13
Mala Fama,Mala Fama,,spotify:artist:1AvkrI2S7knrbaZxydvc9B,44,['Cumbia'],NA,4,27,6
Daniel Piazzolla Octet,Daniel Piazzolla Octet,,spotify:artist:2enk2JDiMeliIGhAaIIYBU,5,[],NA,4,27,6
Hernan Salinas,Hernan Salinas,,spotify:artist:2W5cwkDmgEmBBMw9mI31Du,0,[],male,4,27,6
Divina Gloria,Divina Gloria,,spotify:artist:4R6X8AfgS6zLLB1T32o2b5,4,['Pop'],female,4,27,6
Spinetta Jade,Spinetta Jade,,spotify:artist:3WxVICwFDAWMTWH8sELmRe,39,"['Rock', 'Alternative']",NA,4,160,6
Atilio Bertagni,Atilio Bertagni,,spotify:artist:5k20ZoFDfPecgcA77HhUjZ,0,[],NA,15,249,7
César Angeleri,César Angeleri,,spotify:artist:0dXS98DkHEA9K2H1YjKiTQ,9,[],male,15,184,7
Fernando Suárez Paz,Fernando Suárez Paz,,spotify:artist:0iAXfgocPlqCBCJF0ePtWe,21,[],male,10,31,1
Marcela Roggeri,Marcela Roggeri,,spotify:artist:7eHNjAADUow33FO8ZXTnja,20,[],female,10,62,1
Horacio Malvicino,Horacio Malvicino,,spotify:artist:3xevpuwJnWpMqAG1OQ6tyw,11,['Jazz'],male,10,0,1
Jaime Gosis,Jaime Gosis,,spotify:artist:2zrOtvSZABUlEK1BKXB2pY,4,[],NA,10,0,1
Antonio Agri,Antonio Agri,,spotify:artist:4WZMrqz4osPATbgxXk8Ybq,8,['Tango'],male,6,260,5
Oscar Lopez Ruiz,Oscar Lopez Ruiz,,spotify:artist:56Aircc0D2IkPge7hrZuAZ,4,[],male,10,0,1
Osvaldo Manzi,Osvaldo Manzi,,spotify:artist:7fHTuS9UpTt3OrSadZT0jE,1,[],male,10,0,1
Hector de Rosas,Hector de Rosas,,spotify:artist:0ON4VPRzGR8VO2H1E67L30,0,[],male,10,0,1
Maria De La Fuente,Maria De La Fuente,,spotify:artist:3Az9vW4q8VtWHqEvUM0zLm,1,[],female,10,0,1
Elvino Vardaro,Elvino Vardaro,,spotify:artist:2AoHpFcyVBqzVSWcJZt5Gj,3,['Tango'],male,10,0,1
José Bragato,José Bragato,,spotify:artist:4BRgpiaW3Bzof2rAjdNytN,0,['Tango'],male,20,125,1
Jorge Sobral,Jorge Sobral,,spotify:artist:3RdDFV21hY3jng6cRWV0ai,10,['Tango'],male,10,0,1
Nelly Vazquez,Nelly Vazquez,,spotify:artist:252RFCMkHlkKpHGN3gNB1D,2,['Tango'],female,10,0,1
Trio Luminar,Trio Luminar,,spotify:artist:5D9gNtrqcJjw9g6L6uivcN,0,[],NA,26,185,1
Ernesto Sábato,Ernesto Sábato,,spotify:artist:1RhzFKc0pwYboeFXmFb2sH,5,[],male,4,261,6
Roberto Goyeneche,Roberto Goyeneche,,spotify:artist:3tkyefEX4NNjb0AILRLq2A,41,"['Tango', 'Rock']",male,9,83,1
