Id,Label,timeset,id_artista,popularidad,generos_musicales,genero,louvain,infomap,modularity_class
Seven Kayne,Seven Kayne,,spotify:artist:4C29ETLBPmYKYwtJUepbJz,62,"['Trap', 'HipHop']",male,0,219,0
Cazzu,Cazzu,,spotify:artist:6w3SkAHYPsQ1bxV7VDlG5y,73,"['Trap', 'HipHop', 'R&B', 'Rap']",female,0,97,0
ZARAMAY,ZARAMAY,,spotify:artist:3wsYquQ9CiMlYG54BUR2ff,55,['HipHop'],male,0,98,0
Homer El Mero Mero,Homer El Mero Mero,,spotify:artist:0Xo4VFS3v07L0GwIVkZLfg,60,"['HipHop', 'Rap']",male,0,98,0
LIT killah,LIT killah,,spotify:artist:1vqR17Iv8VFdzure1TAXEq,73,"['Trap', 'HipHop', 'R&B', 'Rap']",male,0,221,0
C.R.O,C.R.O,,spotify:artist:4puAp107dCehraE47QXVQX,70,['Trap'],male,0,145,0
Lucho SSJ,Lucho SSJ,,spotify:artist:1OBizG9nrnHJkrL9NjnWYN,57,['Trap'],male,0,146,0
Dani Ribba,Dani Ribba,,spotify:artist:6cC67GpmPCjQjOYLpmOGhN,61,"['Trap', 'HipHop']",male,0,146,0
Pekeño 77,Pekeño 77,,spotify:artist:5eIRbSES1yeGSBuqZ4xvuD,50,"['Trap', 'Rap']",male,0,145,0
LOUTA,LOUTA,,spotify:artist:5l4GdLELvdnXZVT5g947i3,56,"['Pop', 'Electronica', 'Rock', 'Alternative']",male,0,52,13
Frijo,Frijo,,spotify:artist:4D2d63igYEdzhzFnxrSow7,55,"['Trap', 'HipHop']",male,0,95,0
John C,John C,,spotify:artist:66lf5bQo2BIEue1pxfgxQS,56,"['Trap', 'HipHop', 'Cumbia', 'Rap']",male,0,96,0
CA7RIEL,CA7RIEL,,spotify:artist:348pk4o3EhKmsSahzuClSf,55,"['Trap', 'Electronica', 'Alternative']",male,0,147,0
Kiddo Toto,Kiddo Toto,,spotify:artist:1Mj0XQhXbzIXfoWTN391N6,44,['Trap'],male,0,99,0
Dillom,Dillom,,spotify:artist:4cJD9t5QBFTUQcd3xfbOb2,63,"['Trap', 'Pop', 'HipHop']",male,0,148,0
Kodigo,Kodigo,,spotify:artist:3hwgckfLtTHdnkf694c7HS,50,"['Trap', 'HipHop', 'Rap']",male,0,95,0
Blunted Vato,Blunted Vato,,spotify:artist:15RLdM61VHtknTIYIuNviR,54,"['Trap', 'HipHop', 'Cumbia']",male,0,96,0
Paco Amoroso,Paco Amoroso,,spotify:artist:3E7NGbzUGlOjgYY8nvtijR,54,['Alternative'],male,0,147,0
Axel Fiks,Axel Fiks,,spotify:artist:6GEaxHZNiogI175zUr4KvH,51,['Alternative'],male,0,23,0
Halpe,Halpe,,spotify:artist:5fUaIEaRhzIad7C49MqTsy,51,[],NA,0,69,0
Ecko,Ecko,,spotify:artist:2Jb9jVnCpWkXtoGznFJ6bF,63,"['Trap', 'HipHop']",male,0,149,0
XOVOX,XOVOX,,spotify:artist:2mzbm2cwDrAgc9zxcXvfC1,46,[],male,0,222,0
Victor Heredia,Victor Heredia,,spotify:artist:07S2B15CcvWG4jyfMhqx8X,49,"['Folklore', 'Rock']",male,1,70,6
Taiu,Taiu,,spotify:artist:5szJHKg5xeUlQ9pTqzdpic,60,[],male,0,95,0
Yesan 雪山,Yesan 雪山,,spotify:artist:6pJPxDgaE0H343SrASnY9J,53,[],male,0,223,0
ONIRIA,ONIRIA,,spotify:artist:6mkRgafSHF30Dr2wEch4YU,44,['Trap'],NA,0,100,0
WOS,WOS,,spotify:artist:5YCc6xS5Gpj3EkaYGdjyNK,71,"['Trap', 'HipHop', 'R&B', 'Rock', 'Rap', 'Alternative']",male,0,37,13
2 minutos,2 minutos,,spotify:artist:5sASmkskUJsvYDSYKRkkYd,49,"['Rock', 'Punk', 'Alternative']",NA,0,69,0
NEGRO DUB,NEGRO DUB,,spotify:artist:65VS702SIPGgTpWgTQupMA,51,[],male,0,101,0
Kaleb Di Masi,Kaleb Di Masi,,spotify:artist:5U5wYVqrbD6J8SK4kNhau4,67,"['Trap', 'Cumbia']",male,0,102,0
Omar Varela,Omar Varela,,spotify:artist:5xIOUIBQhGFX7HIj8lhdyU,70,[],NA,0,102,0
Papichamp,Papichamp,,spotify:artist:1qoJTYkRvsRJMTOxnUnpNW,55,"['Trap', 'Cumbia']",male,0,149,0
Perro Primo,Perro Primo,,spotify:artist:4MUsDaGK0nPDJvYSoaoFUA,57,['Cumbia'],male,0,149,0
Rodrigo,Rodrigo,,spotify:artist:235Vf4hkmwvxjVEMuCbRxm,59,"['Cumbia', 'Rock']",male,1,224,6
TINI,TINI,,spotify:artist:7vXDAI8JwjW531ouMGbfcp,77,['Pop'],female,0,150,0
Nestor En Bloque,Nestor En Bloque,,spotify:artist:2to8xMgnoxHCXPF7eWJPvg,56,['Cumbia'],male,2,225,13
Fidel Nadal,Fidel Nadal,,spotify:artist:7l2wptrNdI4wEHxTlWa6SS,48,"['Rock', 'Punk', 'Reggae', 'Alternative']",male,2,226,13
Damas Gratis,Damas Gratis,,spotify:artist:3YeBTR1Q1rUxKguz4jP6UV,63,['Cumbia'],NA,0,71,0
Papu DJ,Papu DJ,,spotify:artist:1Z7q2glJYLsPpPoPIgBjdE,52,['Cumbia'],NA,0,151,0
Bruno LC,Bruno LC,,spotify:artist:5XUp43SjeL84EDkWoCG3qR,53,['Cumbia'],male,0,96,0
Zato DJ,Zato DJ,,spotify:artist:75VwO8amb6eCuE9gYagNZZ,43,['Cumbia'],male,0,152,0
Seba TC,Seba TC,,spotify:artist:6W8GoLLEJXK5EvU1TcaYI2,22,[],NA,0,328,0
Rusherking,Rusherking,,spotify:artist:3Apb2lGmGJaBmr0TTBJvIZ,70,['Trap'],male,0,221,0
Maria Becerra,Maria Becerra,,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,81,"['Trap', 'Pop']",female,0,150,0
FMK,FMK,,spotify:artist:0dUyjgCyjfj5eMx6bX2TWf,67,['Trap'],male,0,53,0
Emilia,Emilia,,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,69,['Pop'],female,0,53,0
Emkier,Emkier,,spotify:artist:5yEDqRhb3ABb25Of0IYpcn,38,[],male,0,150,0
Lara91k,Lara91k,,spotify:artist:2zPvDg6LI6NHPQVQIESjfW,49,"['R&B', 'Alternative']",female,0,144,0
Rei,Rei,,spotify:artist:4IG1SDlwgNKzqTmjBrvY3K,71,['Trap'],male,0,103,0
Obie Wanshot,Obie Wanshot,,spotify:artist:48vP5SxlTO6yOI7SLKIOQV,54,['Trap'],male,0,146,0
Neo Pistea,Neo Pistea,,spotify:artist:01m2XZ7m7rAz6KY3scTdaV,62,"['Trap', 'HipHop']",male,0,103,0
CLUB HATS,CLUB HATS,,spotify:artist:3Nk2mAv4k4ZOzrP5tpXL2G,61,[],male,0,144,0
Marcianos Crew,Marcianos Crew,,spotify:artist:0Hkx0YcHHxDRRbH9WsSW0I,52,"['Trap', 'HipHop', 'Rap']",male,0,153,0
MYA,MYA,,spotify:artist:5Rj6rNR8zIlUUDCs1OyPmW,63,['Pop'],NA,0,53,0
Vicentico,Vicentico,,spotify:artist:25THA9HUHoxpCT4LBp7UsZ,63,"['Pop', 'Rock', 'Reggae', 'Alternative']",male,1,18,6
La Bomba de Tiempo,La Bomba de Tiempo,,spotify:artist:2kzyHS3WRPwclRl5gsydu8,37,['Reggae'],NA,0,37,13
Chulu,Chulu,,spotify:artist:1VAc90Avnm4J5j2cYu5RVB,47,['Rap'],NA,0,98,0
Dante Spinetta,Dante Spinetta,,spotify:artist:4Dcz7srpGyeBFxFpQTxlvC,40,"['Jazz', 'HipHop', 'Rock', 'Rap', 'Alternative']",male,0,103,0
Sixto Yegros,Sixto Yegros,,spotify:artist:2mddrRrlMf3ykcKyh1jlSs,36,[],male,0,227,0
Panther,Panther,,spotify:artist:6bigFvZX5HdrC98srqxRLQ,53,['Trap'],male,0,227,0
Amelita Baltar,Amelita Baltar,,spotify:artist:5Z2Vs6p7u0a44wcO68iiQk,28,['Tango'],female,10,0,1
KAKTOV,KAKTOV,,spotify:artist:4G8DaRnN7oPFkEJXwX2i94,49,['Trap'],male,0,101,0
Veeyam,Veeyam,,spotify:artist:0mUKZR7k8cOSewS6faryVf,43,['Rap'],male,0,220,0
Axel Caram,Axel Caram,,spotify:artist:2PkjYgKhHI4qofYoxWB9ZP,50,"['Pop', 'Cumbia']",male,0,152,0
Maia Reficco,Maia Reficco,,spotify:artist:3bSOF3p2LElLzyfeazQSOM,41,"['Pop', 'R&B']",female,0,228,0
Chita,Chita,,spotify:artist:7ejyCwT1b7MIwHVCVO8HjX,43,"['R&B', 'Alternative']",female,0,97,0
La Duraca,La Duraca,,spotify:artist:7x7vfF89MqM94K8wvK3Omq,41,[],female,0,97,0
Mechi Pieretti,Mechi Pieretti,,spotify:artist:5rnUlLid4WEcDmAz6McM33,34,['Pop'],NA,0,97,0
Lali,Lali,,spotify:artist:22P1OY4TRFRwhP0q29loQ8,64,"['Pop', 'HipHop']",female,1,38,6
Bardero$,Bardero$,,spotify:artist:5Q2fyL2TcdUY9IqKTkGk5G,59,['HipHop'],NA,0,229,0
Franky Style,Franky Style,,spotify:artist:1cLDC1abeY1jIY5AX2Rtbx,58,"['Trap', 'Cumbia']",male,0,229,0
XLAB,XLAB,,spotify:artist:1oagCrMTYkUXI9pmudj2w6,46,[],male,0,101,0
Lil Troca,Lil Troca,,spotify:artist:51Q6RZOMEMuZHySsfWLTtk,47,['Rap'],male,0,98,0
T&K,T&K,,spotify:artist:62zZb3lpCFBqLDjMccQgND,48,"['HipHop', 'Rap']",male,0,154,0
Los Palmeras,Los Palmeras,,spotify:artist:2Htm0q72SjGSmsy8EOIhRG,63,['Cumbia'],NA,1,104,6
Selecta,Selecta,,spotify:artist:1m9WPOccw8sizsVYUhSVjZ,50,[],male,0,103,0
Mike Southside,Mike Southside,,spotify:artist:4jIPjVHNkAKmqfWjfwg960,34,"['Trap', 'HipHop', 'Rap']",male,0,155,0
Jairo Vera,Jairo Vera,,spotify:artist:5CAruGjgds3QlF5ICtEnnc,65,"['Trap', 'Reggae']",male,0,145,0
Marilina Bertoldi,Marilina Bertoldi,,spotify:artist:1nm9PdmvzPXJmIlMOk5XLy,45,"['Rock', 'Alternative']",female,1,52,13
Zoe Gotusso,Zoe Gotusso,,spotify:artist:3XBw8ImFEo86mEB2dYh0vS,53,"['Pop', 'Rock', 'Alternative']",female,1,156,13
Miranda!,Miranda!,,spotify:artist:2eEmsgWmUFMbtU7agJpnjY,67,"['Pop', 'Electronica', 'Rock', 'Alternative']",NA,0,39,0
Malena Villa,Malena Villa,,spotify:artist:0RlibgJa8rtPvVn415J6WN,40,"['Pop', 'Alternative']",female,0,23,0
Ilan Amores,Ilan Amores,,spotify:artist:0gQKzAKJSt3Ko7SKEr9y9z,31,[],male,0,99,0
Gandu,Gandu,,spotify:artist:6bx6A2ZgZA9erQg6hH453L,9,[],male,0,99,0
Cieloazul,Cieloazul,,spotify:artist:2mFYQhy4Pcp2yvzuZQN9Dw,32,[],male,0,329,0
Wirchi,Wirchi,,spotify:artist:7xfNmsjjymUmtxwxATAIT1,12,[],male,0,99,0
Muerejoven,Muerejoven,,spotify:artist:2yGXs7AlyNVetlMvwsFXGk,49,['Trap'],male,0,148,0
Saramalacara,Saramalacara,,spotify:artist:3QchzUOTSCKWmaRGEEiuir,54,"['Trap', 'Pop']",female,0,105,0
K4,K4,,spotify:artist:0yjlGMMFuIci8JCTAOb2AU,37,['Trap'],NA,0,105,0
Broke Carrey,Broke Carrey,,spotify:artist:6FWTqLIVK9jjMGcNJnF7xE,42,['Trap'],male,0,230,0
Parcas,Parcas,,spotify:artist:5p3XXlSBTvUHz4X1yCW1J4,24,[],male,0,148,0
Ill Quentin,Ill Quentin,,spotify:artist:26TC05Yq727xEWV77nRinH,44,['Trap'],male,0,230,0
Naiky Unic,Naiky Unic,,spotify:artist:4RiS74hj1A525qvPs66MMP,19,[],NA,0,53,0
Adrian Dargelos,Adrian Dargelos,,spotify:artist:4F55zi79SZIr5PPOLTJ6cg,32,"['Pop', 'Rock']",male,0,147,0
Juan Ingaramo,Juan Ingaramo,,spotify:artist:2XVoz4hoXgQ3C2BTGxl9V2,52,"['Trap', 'Pop', 'Rock', 'Alternative']",male,0,18,0
Julio Cortázar,Julio Cortázar,,spotify:artist:6W4YLMJJjhfR6qMH334AGO,10,[],male,0,23,0
Angela Torres,Angela Torres,,spotify:artist:6LZA6PhNCwUfHzqfpN1nYL,55,"['Pop', 'Reggae']",female,0,23,0
Goyo Degano,Goyo Degano,,spotify:artist:2jdmT8GGcp6lWM58D0ROYf,38,[],male,1,24,13
BB ASUL,BB ASUL,,spotify:artist:27PauMy7dOiHb7sI8h6s4T,27,['Pop'],NA,0,23,0
Cintia Aldana,Cintia Aldana,,spotify:artist:2P1om2xP9Qw4adZzOZKZeP,18,[],female,0,222,0
Teresa Parodi,Teresa Parodi,,spotify:artist:4D56DujhnBViJ4oYCSl1GK,36,"['Chamame', 'Folklore']",female,1,231,6
Andrés Gimenez,Andrés Gimenez,,spotify:artist:54au8jquUdJ4NFUehWHjpg,9,[],male,1,1,6
Abel Pintos,Abel Pintos,,spotify:artist:6HTUcOExehqydqa7C3usAa,67,"['Pop', 'Folklore', 'Rock']",male,1,70,6
Jairo,Jairo,,spotify:artist:45NmCZDtKwIIVLpl2c3csx,38,"['Pop', 'Folklore', 'Rock']",male,10,1,1
Adriana Varela,Adriana Varela,,spotify:artist:5diAzb0BD6mSdU1xOhM7dc,36,['Tango'],female,17,157,2
Piero,Piero,,spotify:artist:0kavuvnHTeqwjKLV7qPpQm,49,"['Pop', 'Folklore', 'Rock']",male,6,106,5
Miss Bolivia,Miss Bolivia,,spotify:artist:4xx3PjUWxXY0qEXUdDhrwx,39,"['Cumbia', 'Rap']",female,7,40,13
Lautaro Heredia,Lautaro Heredia,,spotify:artist:7vihyogEq7rNUA6kcrYcUr,1,[],male,1,232,6
Motta Luna,Motta Luna,,spotify:artist:2VwThHR4o6olzyThu7YJiz,1,['Folklore'],NA,1,232,6
Sandra Mihanovich,Sandra Mihanovich,,spotify:artist:34wPpdJXRno0eRFI5IAOYh,40,"['Jazz', 'Pop', 'Rock']",female,3,1,5
Adrián Iaies,Adrián Iaies,,spotify:artist:38yosjfq6EXdWuWbLSKulh,10,['Jazz'],male,15,107,7
Peteco Carabajal,Peteco Carabajal,,spotify:artist:5gii2fYcxLoUHWd1lWe4aT,43,"['Chamame', 'Folklore']",male,2,4,6
Nahuel Pennisi,Nahuel Pennisi,,spotify:artist:4IjHltwoSKbUeZLPeULyDe,57,['Folklore'],male,3,25,6
