,nombre
276,Cobra Rod
277,Come & C
278,Coni Cibils
279,Connie Isla
280,Conociendo Rusia
281,Contra Las Cuerdas
282,Coqeéin Montana
283,Coqui Sosa
284,Coti
285,Cristian Zárate
286,Cristina Banegas
287,Cristóbal Repetto
288,Cuarteto Guardia Vieja
289,Cuarteto Zupay
290,Cuti Carabajal
291,Cátulo Castillo
292,César Angeleri
293,César Franov
294,César Ginzo
295,Cítrico
296,D-Mente
297,DEFENSA
298,Dabow
299,Daiana Leonelli
300,Dakillah
301,Damas Gratis
302,Damian Bolotin
303,Damian Cordoba
304,Damián Sanchez
305,Dancing Mood
306,Dani Ribba
307,Daniel Agostini
308,Daniel Altamirano
309,Daniel Barenboim
310,Daniel Barenboim/New Philharmonia Orchestra/Pierre Boulez
311,Daniel Binelli
312,Daniel Buira
313,Daniel Castro
314,Daniel Colombres
315,Daniel Diaz
316,Daniel Falasca
317,Daniel Maza
318,Daniel Melero
319,Daniel Melingo
320,Daniel Montenegro
321,Daniel Piazzolla Octet
322,Daniel Riolobos
323,Daniel Tarrab
324,Daniela Herrero
325,Daniela Spalla
326,Dante Amicarelli
327,Dante Anzolini
328,Dante Spinetta
329,Dario Jalfin
330,Dat García
331,David Lebón
332,David Lebón Jr
333,De La Rivera
334,Deborah De Corral
335,Deborah Dixon
336,Delfina Campos
337,Demi Carabajal
338,Demian Chorovicz
339,Demoliendo Tangos
340,Diego Arnedo
341,Diego Rolón
342,Diego Schissi
343,Diego Schissi Quinteto
344,Diego Solís
345,Diego Torres
346,Diego Urcola
347,Dillom
348,Dinastía
349,Dino Saluzzi
350,Dios Loko
351,Diosque
352,Divididos
353,Divina Gloria
354,Dolores Solá
355,Domingo Cura
356,Domingo Lombardi
357,Donald
358,Donna Caroll
359,Dora De Marinis
360,Dorita Davis
361,Duki
362,Duo Coplanacu
363,Désirée Halac
364,Dúo Nuevo Cuyo
365,Dúo Salteño
366,Ecko
367,Edelmiro Molinari
368,Edgardo Cardozo
369,Edgardo Donato
370,Edmundo Rivero
371,Edmundo Rivero con Acompañamiento de Guitarras
372,Eduardo Adrian
373,Eduardo Adrián
374,Eduardo Arolas
375,Eduardo Bergallo
376,Eduardo Eguez
377,Eduardo Falú
378,Eduardo García de Zúñiga
379,Eduardo Lagos
380,Egle Martin
381,El Chacal & Los Alpes Floreados
382,El Chavez
383,El Gato Muñoz
384,El Kuelgue
385,El Otro Yo
386,El Polaco
387,El Quintetito de Marcelo Véliz
388,El Remolón
389,El Retutu
390,El Simbolo
391,El Zar
392,El príncipe idiota
393,Eladia Blazquez
394,Elena Roger
395,Elias Khayat
396,Elvino Vardaro
397,Emanero
398,Emilia
399,Emilia Siede
400,Emilia Wingeyer
401,Emilio Balcarce
402,Emilio Kauderer
403,Emisor
404,Emkier
405,Emmanuel Horvilleur
406,Emme
407,Enero Será Mío
408,Enlace Styla
409,Enrique Alessio
410,Enrique Cadícamo
411,Enrique Campos
412,Enrique Delfino
413,Enrique Dizeo
414,Enrique Francini
415,Enrique Munne
416,Enrique Norris
417,Ernesto Acher
418,Ernesto Acher Chamber Orchestra
419,Ernesto Baffa
420,Ernesto Fama
421,Ernesto Guevara
422,Ernesto Jodos
423,Ernesto Romeo
424,Ernesto Rossi
425,Ernesto Snajer
426,Ernesto Sábato
427,Eruca Sativa
428,Escalandrum
429,Esteban Falabella
430,Esteban Morgado
431,Estela Raval
432,Ezequiel Araujo
433,Ezequiel Cantero
434,Ezequiel Dutil
435,FLORIAN
436,FMK
437,Faauna
438,Fabiana Cantilo
439,Fabián Martín
440,Fabián Miodownik
441,Fabián Panisello
442,Fabián Zylberman
443,Facundo Barrionuevo
444,Facundo Cabral
445,Facundo Gimenez
446,Facundo Guevara
447,Facundo Ramirez
448,Facundo Ramírez y Lolita Torres
449,Facundo Saravia
450,Facundo Soto
451,Fantasma
452,Fauna
453,Fede Flores
454,Fede Gareis
455,Fede Toledo
456,Fede Vigevani
457,Federico Estevez
458,Federico Jusid
459,Federico Lechner
460,Federico Mizrahi
461,Felix Gutierrez
462,Fena Della Maggiora
463,Feral Fauna
464,Fernando
465,Fernando Albareda
466,Fernando De Madariaga
467,Fernando Diaz
468,Fernando Ferandiere
469,Fernando Gallimany
470,Fernando Gelbard
471,Fernando Lamas
472,Fernando Martínez
473,Fernando Rabih
474,Fernando Ruiz Diaz
475,Fernando Samalea
476,Fernando Soler
477,Fernando Suárez Paz
478,Fernando Viani
479,Fernando Xamena
480,Fernández 4
481,Fernándo Díaz
482,Fianru
483,Fidel Nadal
484,Fito Paez
485,Fito Páez
486,Flavio Etcheto
487,Flavius E.
488,Flopa
489,Flopa Lestani
490,Floreal Ruiz
491,Florencia Bernales
492,Florencia Paz
493,Florencia Ruiz
494,Florindo Sassone
495,Francisca y Los Exploradores
496,Francisco Amor
497,Francisco Canaro
498,Francisco Canaro & His Orchestra
499,Francisco Canaro Y Su Orquesta
500,Francisco Canaro Y Su Orquestra Tipica
501,Francisco Fiorentino
502,Francisco Fiorentino Y Su Orquestra Tipica
503,Francisco Fiorentino y Su Orquestra Típica
504,Francisco García Jiménez
505,Francisco Lomuto
506,Francisco Lomuto y su Orquesta Típica
507,Francisco Pracánico
508,Francisco de Caro
509,Franco Luciani
510,Franco Ramirez
511,Franky Style
512,Frijo
513,Frikstailers
514,Félix Luna
515,Fémina
516,Fútbol
517,Gabo Ferro
518,Gabriel Castagna
519,Gabriel Pedernera
520,Gabriel Senanes
521,Gabriel Sivak
522,Gaby Kerpel
523,Gady Pampillón
524,Galean
525,Galo García
526,Gandu
527,Gaston Pauls
528,Gastón Bernardou
529,Gato Barbieri
530,Gauchos de Acero
531,Gerardo Gandini
532,Gerardo Jerez Le Cam
533,Gerardo López
534,Germán Cohen
535,Germán Gómez
536,Gerónimo Gradito
537,Gilda
538,Gillespi
539,Gloria Diaz
540,Golpe Erótico
