,nombre
1204,Pity Alvarez
1205,Piñon Fijo
1206,Pocho La Pantera
1207,Pocho Lapouble
1208,Poirier
1209,Pol Nada
1210,Poli y Prietto
1211,Polifemo
1212,Poncho
1213,Popi Spatocco
1214,Poseidotica
1215,Potra
1216,Princesa
1217,Principe Azul
1218,Príncipe Azul
1219,Puel Kona
1220,Pyura
1221,Pájaro de Fuego
1222,Púrpura Pansa
1223,Quinteto Pirincho
1224,Quintino Cinalli
1225,Quique Condomí
1226,Quique Sinesi
1227,QuixSmell
1228,Rafael Gintoli
1229,Rafael Varela
1230,Rafael del Bagno
1231,Raly Barrionuevo
1232,Ramiro Flores
1233,Ramiro Gallo
1234,Ramiro Gallo String Orchestra
1235,Ramiro Jota
1236,Ramona Galarza
1237,Ramón Navarro
1238,Ramón Navarro (h)
1239,Ramón Sixto Ríos
1240,Ratones Paranoicos
1241,Ratones Paranoicos & Alejandro Lerner
1242,Ratones Paranoicos & Alfredo Toth
1243,Raul Beron
1244,Raul Carnota
1245,Raul Carnota Trio
1246,Raul Garello
1247,Raul Iriarte
1248,Raul Porchetto
1249,Rayador
1250,Rayos Láser
1251,Raúl Barboza
1252,Raúl Berón
1253,Raúl Carnota
1254,Raúl Lavié
1255,Rei
1256,Reinaldo Yiso
1257,Ricardo Iorio
1258,Ricardo Lew
1259,Ricardo Mollo
1260,Ricardo Moyano
1261,Ricardo Ruiz
1262,Ricardo Soule
1263,Ricardo Tanturi
1264,Ricardo Tanturi y su Orquesta Típica Los Indios
1265,Ricardo Tapia
1266,Ricardo Tapia (La Mississippi)
1267,Richard Coleman
1268,Richard Nant
1269,Riddim Wise
1270,Roberto Arrieta
1271,Roberto Calvo
1272,Roberto Carabajal
1273,Roberto Chanel
1274,Roberto Diaz
1275,Roberto Diaz Velado
1276,Roberto Díaz
1277,Roberto Firpo
1278,Roberto Florio
1279,Roberto Goyeneche
1280,Roberto Grela
1281,Roberto Grela y su Cuarteto Tipico
1282,Roberto Maida
1283,Roberto Medina
1284,Roberto Morel
1285,Roberto Quiroga
1286,Roberto Ray
1287,Roberto Rufino
1288,Roberto Videla
1289,Roberto Yanes
1290,Rocio Igarzabal
1291,Rocío Quiroz
1292,Rodolfo Alchourrón
1293,Rodolfo Biagi
1294,Rodolfo Galé
1295,Rodolfo Garcia
1296,Rodolfo Lesica
1297,Rodolfo Mederos
1298,Rodolfo Sciammarella
1299,Rodrigo
1300,Rodrigo Crespo
1301,Rodrigo Dominguez
1302,Rodrigo Montero
1303,Rodrigo Puente
1304,Rodrigo Rabery
1305,Rodrigo Reparaz
1306,Rodrigo Ríos
1307,Rodrigo Tapari
1308,Rolando Goldman
1309,Rolando Sartorio
1310,Romina Cohn
1311,Roque Narvaja
1312,Rosal
1313,Rosario Bléfari
1314,Rosario Ortega
1315,Rosita Quiroga
1316,Roxana Carabajal
1317,Ruben Lobo
1318,Ruben Lopez Furst
1319,Rubén Dubrovsky
1320,Rubén Goldín
1321,Rubén Juárez
1322,Rudy
1323,Rusherking
1324,SWF-Rundfunkorchester
1325,Said
1326,Sandra Luna
1327,Sandra Mihanovich
1328,Sandro
1329,Santiago Córdoba
1330,Santiago Moraes
1331,Santiago Motorizado
1332,Santiago Segret
1333,Santiago Vázquez
1334,Sara Hebe
1335,Sara Mamani
1336,Saramalacara
1337,Saul Cosentino
1338,Scorpio
1339,Seba Landro
1340,Seba TC
1341,Sebastian Kramer
1342,Sebastian Llapur
1343,Sebastian Piana
1344,Sebastian Schon
1345,Sebastián Schon
1346,Sebastián de Urquiza
1347,Selecta
1348,Sergio Aranda
1349,Sergio Merce
1350,Sergio Mihanovich
1351,Sergio Natali
1352,Sergio Tiempo
1353,Sergio Verdinelli
1354,Sergio Villar
1355,Seven Kayne
1356,Sexteto Mayor
1357,Sexteto Tango
1358,Shaman Herrera
1359,SidiRum
1360,Sig Ragga
1361,Silvia Iriondo
1362,Silvina Garre
1363,Silvina López
1364,Silvina Moreno
1365,Sixto Palavecino
1366,Sixto Yegros
1367,Skay Beilinson
1368,Slim Dee
1369,Sobrenadar
1370,Soema Montenegro
1371,Sof Tot
1372,Sofia Rei
1373,Sofja
1374,Sol Bassa
1375,Sol Mihanovich
1376,Sol Pereyra
1377,Soledad
1378,Soledad Pastorutti
1379,Sonia Alvarez
1380,Sonia Álvarez
1381,Soy Emilia
1382,Spinetta Jade
1383,Sr. Flavio
1384,Suna Rocha
1385,Super Ratones
1386,Susy Shock
1387,T&K
1388,TAILS
1389,TINI
1390,Taa Huayras
1391,Taiu
1392,Tango Negro Trio
1393,Tangoloco (Daniel García Quinteto)
1394,Taty Almeida
1395,Tavo Kupinski
1396,Tei Shi
1397,Teofilo Ibañez
1398,Terceto Murillo
1399,Teresa Parodi
1400,Terig Tucci y Su Orquesta
1401,The Cherry Blues Project
1402,The Sacados
1403,Thornato
1404,Tiago PZK
1405,Tita Merello
1406,Tito Fargo
1407,Tito Landó
1408,Tito Losavio
1409,Tito Reyes
1410,Todos Tus Muertos
1411,Tomas Gubitsch
1412,Tomy DJ
1413,Tomy Sainz
1414,Tomás Babjaczuk
1415,Tomás Lebrero
1416,Trio Luminar
1417,Trueno
1418,Turf
1419,UN
1420,Ubaldo De Lio
1421,Ubaldo de Lío
1422,Uji
1423,Ulises Bueno
1424,Ulises Butrón
1425,Ulises Conti
1426,Un Mono Azul
1427,Un Tipo Sin Ritmo
1428,Usted Señalemelo
1429,Valentin Surif
1430,Valeria Bertuccelli
1431,Valeria Lynch
1432,Vandera
1433,Vane Mihanovich
1434,Veeyam
1435,Veronica Condomi
1436,Verónica Condomí
1437,Vic Bang
1438,Vicente Demarco
1439,Vicente Greco
1440,Vicente Salerno
1441,Vicente Spina
1442,Vicentico
1443,Victor Carrión
1444,Victor Heredia
1445,Victor Villadangos
1446,Victoria Birchner
1447,Victoria Diaz
1448,Victoria Morán
1449,Viejas Locas
1450,Vilma Palma e Vampiros
1451,Violeta Castillo
1452,Violeta Rivas
1453,Violetta Arriaza
1454,Virginia Lago
1455,Vitico
1456,Vitillo Ábalos
1457,Vivencia
1458,Vivi Pozzebón
1459,Vocal Melopea
1460,Vox Dei
1461,Víctor Lavallén
1462,Víctor Torres
1463,WOS
1464,Waldo De Los Rios Y Su Orquesta
1465,Walter Broide
1466,Walter Heinze
1467,Walter Meza
1468,Walter Ríos
1469,Walter Ríos (bandoneón)
1470,Wen
1471,Wenceslada
1472,Willy Crook
1473,Willy Quiroga
1474,Wirchi
1475,XLAB
1476,XOVOX
1477,XXL Irione
1478,YSY A
1479,Yamila Cafrune
1480,Yesan 雪山
1481,ZARAMAY
1482,Zaida Saiace
1483,Zaramay
1484,Zato DJ
1485,Zero Kill
1486,Zoe Gotusso
1487,Zort
1488,boom boom kid
1489,dinastia
1490,emisor
1491,fede herrera
1492,théos
1493,Ángel Bonura
1494,Ángel Vargas
1495,Árbol
