,cancion
139,7 Pieces for Children: Ronda (Round)
140,7 Pieces for Children: Ronda (Round)
141,7 Pieces for Children: Sombrerito (Little Hat)
142,7 Pieces for Children: Sombrerito (Little Hat)
143,7 Pieces for Children: Tamboril (Small Drum)
144,7 Pieces for Children: Tamboril (Small Drum)
145,7 Pieces for Children: Tango
146,7 Pieces for Children: Tango
147,7 los Mareados
148,7. Dicen Que Al Chacho Lo Han Muerto
149,71 Milonga
150,8 De Octubre
151,8:24 P.M.
152,9 / 11 - Remix
153,9 Puntos
154,90 Minutos
155,:·: A.C.A.B.
156,A Bailar Que No Hay Infierno
157,A Barquinazos
158,A Contramano - Remasterizado
159,A Descansar I
160,A Don Augustin Bardi
161,A Don Julio de Caro
162,A Don Nicanor Paredes
163,A Don Nicanor Paredes
164,A Don Osvaldo - Tango
165,A Don Rosa Toledo
166,A Don Rosa Toledo
167,A Dos Hermanos de Ley
168,A Esta Pared Le Hace Falta un Cuadro
169,A Estos Hombres Tristes
170,A Foggy Day in London Town
171,A Garufiar
172,A Groovy Kind Of Love
173,A Hammock for Two
174,A Homero (with Roberto Goyeneche)
175,A Homero (with Roberto Goyeneche)
176,A Julio Jerez
177,A L'aime
178,A La Flauta
179,A La Gran Muñeca - 1ª Versión
180,A La Gran Muñeca - 2ª Versión
181,A Lo Gaucho - Remasterizado
182,A Lo Halloween
183,A Lo Lejos - Remasterizado
184,A Los Mineros De Bolivia
185,A MI NO
186,A MILLI - Remix
187,A Magaldi - Remastered
188,A Magaldi - Remastered
189,A Mi Alma - Barda Versión
190,A Mi Hermano Celso
191,A Mi Madre (Con los Amigos)
192,A Mi No Me Den Consejos - Remasterizado
193,A Mi No Me Engañas
194,A Mi No Me Hablen de Penas - Remasterizado
195,A Mi No Me Hablen de Tango
196,A Mi No Me Interesa - Remastered
197,A Mi Que Me Importa
198,A Mi Tierra Volveré
199,A Mi Vieja
200,A Minor Delight
201,A Monteros
202,A Monteros
203,A Mí No Me Hablen De Tango
204,A Nuestros Hijos
205,A Orlando Goni (feat. Fernando Marzan Quintet)
206,A Oscuras
207,A Oscuras
208,A Oscuras
209,A Pesar de Todo - Remasterizado
210,A Punta de Espada
211,A Pura Ushuta
212,A Puro Fierro
213,A Quien Le Puede Importar
214,A Quien Le Puede Importar - Remasterizado
215,A Rodar la Vida
216,A Rodar la Vida
217,A San Telmo
218,"A Starosta, Le Idiota"
219,A Su Memoria - Remasterizado
220,A Suerte Y Verdad - Remastered
221,A Suerte y Verdad
222,A Toda Hora
223,A Toda Vela
224,A Través de la Ventana
225,A Tu Recuerdo
226,A Tu Recuerdo - Remasterizado
227,"A Veces Yo Te Quiero, Buenos Aires"
228,A Villa Guillermina
229,A fuego lento (arr. M.D. Pujol)
230,A la Guardia Nueva
231,A la Lima y al Limón - Remasterizado
232,A la Luz de la Luna
233,A la Luz de un Candil
234,A la Mar Fui por Naranjas
235,A la Memoria de Frankestein
236,A la Mujer Argentina
237,A la Patria Grande
238,A la gran muneca
239,A la guardia nueva
240,A la niñez nuestra
241,A los Desaparecidos
242,A los Pájaros Que Cantan Sobre las Selvas de Internet
243,A media Luz
244,A media luz
245,A mi no me interesa
246,A mis manos
247,A pan y agua
248,A solas
249,A suerte y verdad
250,A tus Pies
251,A un Semejante
252,A una Paloma
253,A una Rosa
254,A una mujer - Remastered
255,A$AP
256,A$AP
257,A. GINASTERA: Dance of the bandit Gaucho (Exc.)
258,A.J.A.
259,"ABC Feat Moloko, Blunted Vato, Taichu (prod Evar)"
260,ACA NO SE SALVA NINGUNO
261,ACA NO SE SALVA NINGUNO
262,ACELERA 2
263,ACÁ EL HUMO (feat. YSY A)
264,ADIÓS
265,ALGO DEL VACÍO
266,ALGO PASO
267,ANGELITO (feat. Duki)
268,ANIMAL
269,AYER TE VI (feat. Zoe Gotusso)
270,AYNEA REMIX
271,Abandonada - Remasterizado
272,Abbot y Costello
273,Aberración
274,Aberración - 125 Kmh
275,Abismo de Sed (Doce Canciones Populares)
276,Abismo de sed
277,Abran Cancha - Remasterizado
278,Abrazo de Despedida
279,Abraço
280,Abre
281,Abrigos del Mar - Bonus Track
282,Abro
283,Abrojalera
284,Abuelas del campo mio
285,Abuelas del campo mio
286,Abuelas del campo mio
287,Abuelas del campo mio
288,Abuelita - Remasterizado
289,Acacias
290,Academia - Tango Classique
291,Academia - Tango Classique
292,Acaramelao / Endúlzame los Oídos - Headphone Mix
293,Acariciando Recuerdos - Remasterizado
294,Acariciando el Cielo
295,Acaso volveras
296,Acelera2
297,Acelera2
298,Acentuado - Cinco Piezas Para Guitarra
299,Acercate Cholito
300,"Acercate, Cholito"
301,Aclamación - Remasterizado
302,Aconcagua: Allegro Marcato
303,Aconcagua: Moderato
304,Aconcagua: Presto
305,Acordandome de Vos
306,Acordandome de Vos
307,Acordes Porteños
308,"Acto Mágico - From ""Toda Canción Será Plegaria"" (Litto Nebbia & Mirtha Defilpo, 1979)"
309,Acualera del Río / La Colonia / El Camino / De Barro al Cielo
310,Acuarela Boquense - Remasterizado
311,Acuarelita de Arrabal - Remasterizado
312,Acuario
313,Adagio
314,Adagio de Pájaro
315,Adagio elegiaco (in memoriam Gilardo Gilardi)
316,Adela
317,Además de Mí
318,Adieu! Bye Bye! Aufwiedersehen!
319,Adios Bardi
320,Adios Corazon
321,Adios Juventud
322,Adios Nonino (arr. E. Acher)
323,Adios Nonino (arr. M.J. Nisinman)
324,Adios Nonino (arr. for piano)
325,Adios Nonino - The Lausanne Concert
326,Adios Nonino - The Lausanne Concert
327,Adios Nonino - The Lausanne Concert
328,Adios Nonino - The Lausanne Concert
329,Adios Nonino: Farewell Nonino
330,Adios Pampa Mía - Remastered
331,Adios a Gardel
332,Adios bardi
333,Adios corazon
334,Adios pampa mía
335,Adios te vas
336,"Adios, Corazón"
337,"Adios, Te Vas...!"
338,"Adios, adios …"
339,"Adios, pampa mía"
340,"Adios, pampa mía"
341,Adiós Te Vas - Remastered
342,Adión Nonino
343,"Adiós (feat. Rafael Varela, Luis Volcoff, Pablo Márquez, Francisco Halbach & Valentín Andersen)"
344,"Adiós (feat. Rafael Varela, Luis Volcoff, Pablo Márquez, Francisco Halbach & Valentín Andersen)"
345,Adiós A Ocumaré - Instrumental
346,Adiós Corazón
347,Adiós Juventud - Instrumental (Remasterizado)
348,Adiós Juventud - Remasterizado
349,Adiós Mi Amor - Remasterizado
350,Adiós Muchachos - Remasterizado
351,Adiós Nonino (Arr. P. Ziegler for 2 Pianos): Adios Nonino (arr. P. Ziegler for 2 pianos)
352,Adiós Nonino (feat. Walter Rios)
353,Adiós Nonino - Instrumental
354,Adiós Pampa Mía - Remasterizado
355,Adiós Patria - Remasterizado
356,Adiós a Federico (Instrumental)
357,Adiós a París - Remasterizado
358,Adiós nonino - Arr. pour piano et clarinette
359,Adiós pueblito de Iruya - Guazú Remix
360,"Adiós, Que Te Vaya Bien"
361,"Adiós, Te Vas"
362,Adonde Esta la Libertad
363,Adonde Vas Tan Regalon
364,Adonis
365,Adonis
366,Adonis
367,Adoracion
368,Adoración - Remastered
369,Adoración - Remastered
370,Adíos Nonino (Tango Rapsodia) - orchestrated by Luis Enriques Bacalov
371,Adónde Voy
372,Adónde Voy
373,Adónde Voy
374,Aero
375,Aero (Seba Landro Remix)
376,Aeropuerto
377,Aeropuertos
378,Affe
379,Affe - Leeu Remix
380,Afiche - Con Antonio Carrizo en ¨la Vida y el Canto¨
381,Afiches (with Atilio Stampone y su Orquesta Tipica)
382,Afriqa - Camanchaca Remix
383,After House
384,After You´ve Gone
385,After You´ve Gone
386,Agor
387,Agridulci
388,Agua Clara Que Corre
389,Agua Clara Que Corre
390,Agua Clara Que Corre
391,Agua Y Sol Del Paraná - Instrumental
392,Agua de Jamaica
393,Agua de Río
394,Agua de Río (feat. El Principe Idiota)
395,Agua de Río (feat. El Principe Idiota) - Del Otro Lado Sessions
396,Agua de los Tiempos
397,"Agua, Fuego, Tierra y Viento (with Soledad)"
398,Aguafuerte (with Liliana Herrero)
399,Aguafuertes Porteñas (Para Arlt)
400,Aguafuertes Porteñas (Para Arlt)
401,Aguantate Casimiro
402,Aguantate Casimiro - Buenos Aires 23/12/1958 [Restauración 2021]
403,"Aguantate, Casimiro"
404,Aguante Casimiro
405,Aguas de Março (Arr. by Eduardo Egüez)
406,Aguas de Março (Arr. by Eduardo Egüez)
407,Aguetas
408,Agujero Negro - Audia Valdez Remix
409,Agüita
410,Ahogarse en la Ciudad
411,Ahogarse en la Ciudad
412,Ahogarse en la Ciudad
413,Ahogarse en la Ciudad
414,Ahora (feat. Leo Dan)
415,Ahora Coraje (with Nahuel Pennisi & La Charo)
416,Ahora Corren
417,Ahora Corren
418,Ahora Corren
419,Ahora No (feat. Kodigo)
420,Ahora No Me Conocés - Remastered
421,Ahora No Te Quiero
422,Ahora Que Estamos Solos
423,Ahora Vengo - Vivo Luna Park
424,Ahora no me conoces
425,Ahora no me conocès
426,Ahre - Capri - Remix
427,Ahre - Capri Remix
428,Ahí Va
429,Ahí Va El Dulce
430,Ahí Vienen los Núñez
431,"Aida, Act III: Pur Ti Riveggo/ La, Tra Foreste"
432,Aimless Nameless
433,Aire
434,Aire Puro
435,Aire Sere
436,Aire de la zamba niña - Arr. pour piano et clarinette
437,Aire de vidalita
438,Aire norteno
439,Aishteru
440,Al Cerrar Los Ojos
441,Al Cimbrar de la Vida
442,Al Compas De Corazon
443,Al Compas Del Corazon
444,Al Compas de un Tango
445,Al Compas del Corazon
446,Al Compás De Tu Mentira
447,Al Compás Del Corazón
448,Al Compás de un Tango - Buenos Aires 18/03/1942 (Restauración 2022)
449,Al Compás del Corazón - Remastered
450,Al Compás del Corazón - Remasterizado
451,Al Despedirme de Tu Boca
452,Al Final ¿Para Qué? (with Diego Solís)
453,Al Galope
454,Al Gendarme
455,Al Gran Bonete - Remasterizado
456,Al Mundo Le Falta un Tornillo
457,Al Mundo Le Falta un Tornillo - Versión Alternativa
458,"Al Olivo, Al Olivo"
459,Al Otro Lado del Arroyo - Remasterizado
460,Al Otro Lado del Rio
461,Al Pasar
462,Al Pie de Tu Reja
463,Al Pintor Aldo Severi
464,Al Poeta de la Paz
465,Al Resplandor de las Estrellas
466,Al Son del Acordeón - Remasterizado
467,Al Subir... al Bajar - Remasterizado
468,Al Sur
469,Al Tango Lo Canto Así
470,Al Tango Lo Canto Así (Final)
471,Al Uruguay - Remasterizado
472,Al Vaivén de Mi Carreta
473,"Al Ver, Verás"
474,Al Violín
475,Al Vuelo
476,Al fin de cuentas somos una manga de tanos - Remasterizado
477,Al fin de cuentas somos una manga de tanos - Remasterizado
478,Al pasar
479,Ala De Colibrí
480,Alamblues
481,Alas
482,Alas Desplegadas
483,Alas Rotas
484,Alas Rotas
485,Alas Rotas
486,Alborada
487,Album Intimo (Intimate Album): No. 1. Cancion
488,Album Intimo (Intimate Album): No. 2. Te amo
489,Album Intimo (Intimate Album): No. 3. Por que?
490,Alcen La Bandera
491,Alcen La Bandera
492,Alcen la Bandera
493,Alcira y la Torre - Bis
494,Alcira y la Torre - Bis
495,Alcohol y Amor
496,Alegre Despertar
497,Alegría De Panderetas
498,Alegría Dispersa
499,Alegría Que Hace Llorar - Instrumental
500,Alejandra
501,Alejandro de Almagro
502,Alelí (feat. Fito Paez)
503,Alelí - Remasterizado
504,"Alem, El Caudillo Cívico"
505,"Alevacolariea (feat. Ruben Rada, Chivo Borraro & Chino Rossi)"
506,"Alevacolariea Jazz (feat. Ruben Rada, Chino Rossi, Osvaldo Fatttoruso, Carl Saunders & Chivo Borraro)"
507,"Alevacolaries feat. Fernando Gelbard, Ruben Rada, Chivo Borraro & Chino Rossi["
508,Alevare
509,Alfabeto Para Locos
510,Alfonsina y el Mar
511,Alfonsina y el Mar (arr. for guitar)
512,"Algarrobo, Algarrobal"
513,Algo (feat. La Yegros)
514,Algo Así
515,"Algo Gracioso Nos Aborda al Huir - From ""Canciones para Cada Uno Vol. 1"" (Litto Nebbia, 1977)"
516,Algo Inolvidable
517,Algo Muy Sano
518,Algo Muy Sano
519,Algo Nuevo
520,Algo Nuevo
521,Algo Salió Bien
522,Algo Tonto (feat. Rosario Ortega)
523,Algo de Mí
524,Algo de paz - Remix
525,Algo duerme en el fondo - Parque Independencia
526,Algo en Ti
527,Algo lindo está por llegar
