numero,Source,Target,Label,Fecha
4702,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Soy un Muchacho de la Guardia,2011-05-02
4703,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Acordandome de Vos,2011-05-02
4704,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,El Encopao,2011-05-02
4705,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,No Te Apures Carablanca,2011-05-02
4706,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Paè Que Seguir,2011-05-02
4707,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Por las Calles de la Vida,2011-05-02
4708,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Corazon... No Le Hagas Caso - Astor Piazzolla,2011-05-02
4709,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Margarita Gauthier - Astor Piazzolla,2011-05-02
4710,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Percal - Astor Piazzolla,2011-05-02
4711,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Valsecito Amigo - Astor Piazzolla,2011-05-02
4712,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Tango Y Copas - Astor Piazzolla,2011-05-02
4713,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Cada Vez Que Me Recuerdes - Astor Piazzolla,2011-05-02
4714,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Cuando Tallan los Recuerdos - Astor Piazzolla,2011-05-02
4715,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Soy del Noventa - Astor Piazzolla,2011-05-02
4716,Aníbal Troilo,Aníbal Troilo & Su Orquesta Típica,Inspiracion - Astor Piazzolla,2011-05-02
