numero,Id,Label,id_artista,popularidad,generos_musicales,genero
47,Nestor En Bloque,Nestor En Bloque,spotify:artist:2to8xMgnoxHCXPF7eWJPvg,56,"['cumbia 420', 'cumbia paraguaya', 'cumbia villera']",male
48,Fidel Nadal,Fidel Nadal,spotify:artist:7l2wptrNdI4wEHxTlWa6SS,48,"['argentine reggae', 'latin alternative', 'latin rock', 'mexican rock', 'reggae en espanol', 'rock en espanol']",male
49,Damas Gratis,Damas Gratis,spotify:artist:3YeBTR1Q1rUxKguz4jP6UV,63,"['cumbia 420', 'cumbia villera']",NA
50,Papu DJ,Papu DJ,spotify:artist:1Z7q2glJYLsPpPoPIgBjdE,52,"['cumbia 420', 'previa', 'rkt']",NA
51,Bruno LC,Bruno LC,spotify:artist:5XUp43SjeL84EDkWoCG3qR,53,"['cumbia 420', 'perreo', 'previa', 'rkt']",male
52,Zato DJ,Zato DJ,spotify:artist:75VwO8amb6eCuE9gYagNZZ,43,"['previa', 'rkt']",male
53,Seba TC,Seba TC,spotify:artist:6W8GoLLEJXK5EvU1TcaYI2,22,[],NA
54,Rusherking,Rusherking,spotify:artist:3Apb2lGmGJaBmr0TTBJvIZ,70,"['trap argentino', 'trap triste']",male
55,Maria Becerra,Maria Becerra,spotify:artist:1DxLCyH42yaHKGK3cl5bvG,81,"['latin pop', 'pop argentino']",female
56,FMK,FMK,spotify:artist:0dUyjgCyjfj5eMx6bX2TWf,67,"['trap argentino', 'trap latino', 'trap triste']",male
57,Emilia,Emilia,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,69,['pop argentino'],female
58,Emkier,Emkier,spotify:artist:5yEDqRhb3ABb25Of0IYpcn,38,[],male
59,Lara91k,Lara91k,spotify:artist:2zPvDg6LI6NHPQVQIESjfW,49,"['argentine indie', 'r&b argentino']",female
60,Rei,Rei,spotify:artist:4IG1SDlwgNKzqTmjBrvY3K,71,['trap argentino'],male
61,Obie Wanshot,Obie Wanshot,spotify:artist:48vP5SxlTO6yOI7SLKIOQV,54,['trap argentino'],male
62,Neo Pistea,Neo Pistea,spotify:artist:01m2XZ7m7rAz6KY3scTdaV,62,"['argentine hip hop', 'trap argentino', 'trap latino']",male
63,CLUB HATS,CLUB HATS,spotify:artist:3Nk2mAv4k4ZOzrP5tpXL2G,61,[],male
64,Marcianos Crew,Marcianos Crew,spotify:artist:0Hkx0YcHHxDRRbH9WsSW0I,52,"['argentine hip hop', 'rap underground argentino', 'trap argentino']",male
65,MYA,MYA,spotify:artist:5Rj6rNR8zIlUUDCs1OyPmW,63,"['latin pop', 'pop argentino']",NA
66,Vicentico,Vicentico,spotify:artist:25THA9HUHoxpCT4LBp7UsZ,63,"['argentine rock', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']",male
67,La Bomba de Tiempo,La Bomba de Tiempo,spotify:artist:2kzyHS3WRPwclRl5gsydu8,37,['argentine reggae'],NA
68,Chulu,Chulu,spotify:artist:1VAc90Avnm4J5j2cYu5RVB,47,['rap underground argentino'],NA
69,Dante Spinetta,Dante Spinetta,spotify:artist:4Dcz7srpGyeBFxFpQTxlvC,40,"['argentine indie', 'argentine rock']",male
70,Sixto Yegros,Sixto Yegros,spotify:artist:2mddrRrlMf3ykcKyh1jlSs,36,[],male
71,Panther,Panther,spotify:artist:6bigFvZX5HdrC98srqxRLQ,53,['trap argentino'],male
72,Amelita Baltar,Amelita Baltar,spotify:artist:5Z2Vs6p7u0a44wcO68iiQk,28,"['cantautora argentina', 'tango', 'tango cancion']",female
73,KAKTOV,KAKTOV,spotify:artist:4G8DaRnN7oPFkEJXwX2i94,49,['trap argentino'],male
74,Veeyam,Veeyam,spotify:artist:0mUKZR7k8cOSewS6faryVf,43,['rap underground argentino'],male
75,Axel Caram,Axel Caram,spotify:artist:2PkjYgKhHI4qofYoxWB9ZP,50,"['cumbia 420', 'cumbia pop', 'previa']",male
76,Maia Reficco,Maia Reficco,spotify:artist:3bSOF3p2LElLzyfeazQSOM,41,['latin viral pop'],female
77,Chita,Chita,spotify:artist:7ejyCwT1b7MIwHVCVO8HjX,43,"['argentine indie', 'r&b argentino', 'r&b en espanol']",female
78,La Duraca,La Duraca,spotify:artist:7x7vfF89MqM94K8wvK3Omq,41,[],female
79,Mechi Pieretti,Mechi Pieretti,spotify:artist:5rnUlLid4WEcDmAz6McM33,34,['pop argentino'],NA
80,Lali,Lali,spotify:artist:22P1OY4TRFRwhP0q29loQ8,64,"['argentine telepop', 'pop argentino']",female
81,Bardero$,Bardero$,spotify:artist:5Q2fyL2TcdUY9IqKTkGk5G,59,['argentine hip hop'],NA
82,Franky Style,Franky Style,spotify:artist:1cLDC1abeY1jIY5AX2Rtbx,58,"['cumbia 420', 'trap latino']",male
83,XLAB,XLAB,spotify:artist:1oagCrMTYkUXI9pmudj2w6,46,[],male
84,Lil Troca,Lil Troca,spotify:artist:51Q6RZOMEMuZHySsfWLTtk,47,['rap underground argentino'],male
85,T&K,T&K,spotify:artist:62zZb3lpCFBqLDjMccQgND,48,"['argentine hip hop', 'boom bap espanol', 'rap underground argentino']",male
86,Los Palmeras,Los Palmeras,spotify:artist:2Htm0q72SjGSmsy8EOIhRG,63,"['cumbia santafesina', 'cumbia villera']",NA
87,Selecta,Selecta,spotify:artist:1m9WPOccw8sizsVYUhSVjZ,50,['urbano espanol'],male
88,Mike Southside,Mike Southside,spotify:artist:4jIPjVHNkAKmqfWjfwg960,34,"['argentine hip hop', 'rap underground argentino', 'trap argentino']",male
89,Jairo Vera,Jairo Vera,spotify:artist:5CAruGjgds3QlF5ICtEnnc,65,"['mambo chileno', 'reggaeton flow', 'trap latino', 'urbano chileno']",male
90,Marilina Bertoldi,Marilina Bertoldi,spotify:artist:1nm9PdmvzPXJmIlMOk5XLy,45,"['argentine alternative rock', 'argentine indie']",female
91,Zoe Gotusso,Zoe Gotusso,spotify:artist:3XBw8ImFEo86mEB2dYh0vS,53,"['argentine indie', 'pop argentino']",female
92,Miranda!,Miranda!,spotify:artist:2eEmsgWmUFMbtU7agJpnjY,67,"['electronica argentina', 'latin alternative', 'latin pop', 'pop electronico', 'rock en espanol']",NA
93,Malena Villa,Malena Villa,spotify:artist:0RlibgJa8rtPvVn415J6WN,40,"['argentine indie', 'pop argentino']",female
94,Ilan Amores,Ilan Amores,spotify:artist:0gQKzAKJSt3Ko7SKEr9y9z,31,[],male
95,Gandu,Gandu,spotify:artist:6bx6A2ZgZA9erQg6hH453L,9,[],male
96,Cieloazul,Cieloazul,spotify:artist:2mFYQhy4Pcp2yvzuZQN9Dw,32,[],male
97,Wirchi,Wirchi,spotify:artist:7xfNmsjjymUmtxwxATAIT1,12,[],male
98,Muerejoven,Muerejoven,spotify:artist:2yGXs7AlyNVetlMvwsFXGk,49,['trap argentino'],male
99,Saramalacara,Saramalacara,spotify:artist:3QchzUOTSCKWmaRGEEiuir,54,"['hyperpop en espanol', 'trap argentino']",female
100,K4,K4,spotify:artist:0yjlGMMFuIci8JCTAOb2AU,37,['trap argentino'],NA
101,Broke Carrey,Broke Carrey,spotify:artist:6FWTqLIVK9jjMGcNJnF7xE,42,['trap argentino'],male
102,Parcas,Parcas,spotify:artist:5p3XXlSBTvUHz4X1yCW1J4,24,[],male
103,Ill Quentin,Ill Quentin,spotify:artist:26TC05Yq727xEWV77nRinH,44,['trap argentino'],male
104,Naiky Unic,Naiky Unic,spotify:artist:4RiS74hj1A525qvPs66MMP,19,[],NA
105,Zaramay,Zaramay,spotify:artist:2K2LY53Q5MPCZzSGkNXkPz,18,[],male
106,Adrian Dargelos,Adrian Dargelos,spotify:artist:4F55zi79SZIr5PPOLTJ6cg,32,[],male
107,Juan Ingaramo,Juan Ingaramo,spotify:artist:2XVoz4hoXgQ3C2BTGxl9V2,52,"['argentine alternative rock', 'argentine indie', 'pop argentino']",male
108,Julio Cortázar,Julio Cortázar,spotify:artist:6W4YLMJJjhfR6qMH334AGO,10,[],male
109,Angela Torres,Angela Torres,spotify:artist:6LZA6PhNCwUfHzqfpN1nYL,55,"['argentine telepop', 'latin viral pop']",female
110,Goyo Degano,Goyo Degano,spotify:artist:2jdmT8GGcp6lWM58D0ROYf,38,[],male
111,BB ASUL,BB ASUL,spotify:artist:27PauMy7dOiHb7sI8h6s4T,27,['pop argentino'],NA
112,Cintia Aldana,Cintia Aldana,spotify:artist:2P1om2xP9Qw4adZzOZKZeP,18,[],female
113,Teresa Parodi,Teresa Parodi,spotify:artist:4D56DujhnBViJ4oYCSl1GK,36,"['chamame', 'folklore argentino']",female
114,Andrés Gimenez,Andrés Gimenez,spotify:artist:54au8jquUdJ4NFUehWHjpg,9,[],male
115,Abel Pintos,Abel Pintos,spotify:artist:6HTUcOExehqydqa7C3usAa,67,"['argentine rock', 'argentine telepop', 'folklore argentino', 'pop argentino']",male
